,x
56,"JULIÁN CASTRO: Thank you very much for that question, Lester. You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent. And I know what it’s like to struggle. I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women."
57,"I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country."
58,(APPLAUSE)
59,And also pursue legislation so that women are paid equal pay for equal work in this country. It's past time that we did that.
60,(APPLAUSE)
61,"And, you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve."
62,"HOLT: All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay?"
63,"REP. TULSI GABBARD (D-HAWAII): First of all, let’s recognize the situation we’re in, that the American people deserve a president who will put your interests ahead of the rich and powerful. That’s not what we have right now."
64,"I enlisted in the Army National Guard after the Al Qaida terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a major. I served over 16 years, deployed twice to the Middle East, and in Congress served on the Foreign Affairs and Armed Services Affairs for over six years."
65,"I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war and arms race, costing us trillions of our hard-earned taxpayer dollars and countless lives."
66,"This insanity must end. As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like health care, a green economy, good-paying jobs, protecting our environment, and so much more."
67,(APPLAUSE)
68,"NBC ANCHOR JOSE DIAZ-BALART: Mayor De Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?"
69,"NEW YORK MAYOR BILL DE BLASIO: Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people’s lives."
70,"But let me tell you, what we’re hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear. This is supposed to be the party of working people. Yes, we’re supposed to be for a 70 percent tax rate on the wealthy. Yes, we’re supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they’re not serving our democracy."
71,"This Democratic Party has to be strong and bold and progressive. And in New York, we've proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there's not enough money. What I say to them every single time is, there's plenty of money in this world, there's plenty of money in this country. It's just in the wrong hands. Democrats have to fix that. (APPLAUSE)"
72,"DIAZ-BALART: Congressman Delaney, do you agree?"
73,"JOHN DELANEY: I think we have to do real things to help American workers and the American people. Right? This is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage. And I’ve called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers."
74,"Then we've got to fix our public education system. It's not delivering the results our kids needs, nor is college and post high school career and technical training programs doing that."
75,"You know, I'm very different than everyone else here on the stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small- to mid-sized businesses all over the country, 5,000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities."
76,"I know how to create jobs. We need a short-term strategy which is to put money in the pockets of workers with the earned income tax credit, raising the minimum wage, and creating family leave, and then we need to have a long-term strategy to make sure this country is competitive and we're creating jobs everywhere in this country."
77,"DIAZ-BALART: Thank you. Governor Inslee, how would you address income inequality?"
78,"GOV. JAY INSLEE (D-WASH.): Well, I’m a little bit surprised. I think plans are great, but I’m a governor. And we’ve got to realize the people who brought us the weekend, unions, need — are going to bring us a long overdue raise in America."
79,(APPLAUSE)
80,"And I’m proud of standing up for unions. I’ve got a plan to reinvigorate collective bargaining so we can increase wages finally. I marched with the SEIU folks. It is not right that the CEO of McDonald’s makes 2,100 times more than the people slinging hash at McDonald’s."
81,"And the next thing I'll do is put people to work in the jobs of the present and the future. Look it, Donald Trump is simply wrong. He says wind turbines cause cancer. We know they cause jobs. And we know that we can put millions of people to work in the clean energy jobs of the future."
82,"Carpenters, IBEW members, machinists, we're doing it in my state today. And then we can do what America always does: lead the world and invent the future and put people to work. That's what we're going to do . . ."
83,(CROSSTALK)
84,"DIAZ-BALART: So, Congressman Ryan, President Trump, and you just referred to him, promise of manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?"
85,"REP. TIM RYAN (D-OHIO): Yes, I believe you can, but, first, let’s say the president came, he said don’t sell your house to people in Youngstown, Ohio. And then his administration just in the last two years, we lost $4,000 — 4,000 jobs at a General Motors facility. That rippled throughout our community. General Motors got a tax cut. General Motors got a bailout. And then they have the audacity to move a new car that they’re going to produce to Mexico."
86,"I’ve had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America."
87,"The bottom 60 percent haven't seen a raise since 1980. Meanwhile, the top 1 percent control 90 percent of the wealth. We need an industrial policy saying we're going to dominate building electric vehicles, there's going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry . . ."
88,DIAZ-BALART: Thank you.
89,RYAN: . . . and manufacture those here in the United States.
90,"DIAZ-BALART: Senator Warren, are they coming back? Are these jobs coming back?"
91,"WARREN: So we’ve had an industrial policy in the United States for decades now, and it’s basically been let giant corporations do whatever they want to do. Giant corporations have exactly one loyalty, and that is to profits. And if they can save a nickel by moving a job to Mexico or to Asia or to Canada, they’re going to do it."
92,"So here's what I propose for an industrial policy. Start with a place where there's a real need. There's going to be a worldwide need for green technology, ways to clean up the air, ways to clean up the water. And we can be the ones to provide that. We need to go tenfold in our research and development on green energy going forward."
93,(APPLAUSE)
94,"And then we need to say any corporation can come and use that research. They can make all kinds of products from it, but they have to be manufactured right here in the United States of America."
95,"And then we have to double down and sell it around the world. There's a $23 trillion market coming for green products. We should be the leaders and the owners, and we should have that 1.2 million manufacturing jobs here in America."
96,DIAZ-BALART: Thank you.
97,WARREN: We can do this.
98,"HOLT: All right. We're going to turn to the issue of health care right now and really try to understand where there may or may not be daylight between you. Many people watching at home have health insurance coverage through their employer. Who here would abolish their private health insurance in favor of a government-run plan? Just a show of hands, start off with."
99,(APPLAUSE)
100,"All right, well, Senator Klobuchar, let me put the question to you. You're one of the Democrats who wants to keep private insurance in addition to a government health care plan. Why is an incremental approach in your view better than a sweeping overhaul?"
101,"KLOBUCHAR: Well, I think it's a bold approach. It's something that Barack Obama wanted to do when we were working on the Affordable Care Act. And that is a public option."
102,"I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says. So let me go on beyond that."
103,"There is a much bigger issue in addition to that, and that is pharmaceuticals. The president literally went on TV, on Fox, and said that people's heads would spin when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double-digits since he came into office. Instead, he gave $100 billion in giveaways to the pharma companies."
104,"For the rest of us, for the rest of America, that's what we call at home all foam and no beer. We got nothing out of it."
105,(LAUGHTER)
106,"And so my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. And pharma thinks they own Washington? Well, they don't own me."
107,HOLT: Your time is up. Thank you.
108,(APPLAUSE)
109,"Senator Warren, you signed on to Bernie Sanders’ Medicare-for-all plan. It would put essentially everybody on Medicare and then eliminate private plans that offer similar coverage. Is that the plan or path that you would pursue as president?"
110,"WARREN: So, yes. I'm with Bernie on Medicare for all. And let me tell you why."
111,"I spent a big chunk of my life studying why families go broke. And one of the number-one reasons is the cost of health care, medical bills. And that's not just for people who don't have insurance. It's for people who have insurance."
112,"Look at the business model of an insurance company. It’s to bring in as many dollars as they can in premiums and to pay out as few dollars as possible for your health care. That leaves families with rising premiums, rising copays, and fighting with insurance companies to try to get the health care that their doctors say that they and their children need. Medicare for all solves that problem."
113,"And I understand. There are a lot of politicians who say, oh, it's just not possible, we just can't do it, have a lot of political reasons for this. What they're really telling you is they just won't fight for it. Well, health care is a basic human right, and I will fight for basic human rights..."
114,(CROSSTALK)
115,(APPLAUSE)
116,"HOLT: Congressman O'Rourke, when you ran for Senate, you also praised a bill that would replace private insurance. This year, you're saying you're no longer sure. Can you explain why?"
117,"O'ROURKE: My goal is to ensure that every American is well enough to live to their full potential because they have health care. In Laredo, Texas, I met a young man, 27 years old, told me that he'd been to a doctor once in his life. And on that visit, he was told he had diabetes, he was told he had glaucoma, and he was told untreated -- because he doesn't have health care -- he'll be dead before the age of 40."
118,"So getting to guaranteed, high-quality, universal health care as quickly and surely as possible has to be our goal. The ability to afford your prescriptions and go to a primary care provider, to be -- the ability to see a mental health care provider. In Texas, the single largest provider of mental health care services is the county jail system today."
119,And health care also has to mean that every woman can make her own decisions about her own body and has access to the care that makes that possible.
120,(APPLAUSE)
121,"Our plan says that if you're uninsured, we enroll you in Medicare. If you're insufficiently insured, you can't afford your premiums, we enroll you in Medicare. But if you're a member of a union that negotiated for a health care plan that you like because it works for you and your family, you're able to keep it."
122,HOLT: Your time is up.
123,O'ROURKE: We preserve choice by making sure everybody has care.
124,"HOLT: Your time is up, Congressman, but I do want to ask a follow-up on this. Just to be very clear -- I'll give you 10 seconds -- would you replace private insurance?"
125,O'ROURKE: No. I think the choice is fundamental to our ability to get everybody cared for...
126,"DE BLASIO: Wait, wait, wait. Congressman O'Rourke, Congressman O'Rourke, private insurance is not working for tens of millions of Americans when you talk about the co-pays, the deductibles, the premiums, the out of pocket expenses. It's not working. How can you defend a system that's not working?"
127,"O'ROURKE: That's right. So for those for whom it's not working, they can choose Medicare. For the..."
128,(CROSSTALK)
129,DE BLASIO: Congressman...
130,O'ROURKE: ... who I listen to...
131,DE BLASIO: ... you've got to start by acknowledging the system is not working for people.
132,O'ROURKE: ... they're able to keep them.
133,DE BLASIO: Why are you defending private insurance to begin with?
134,"DELANEY: ... 100 million Americans say they like their private health insurance, by the way. It should be noted that 100 million Americans -- I mean, I think we should be the party that keeps what's working and fixes what's broken."
135,(APPLAUSE)
136,"I mean, doesn't that make sense? I mean, we should give everyone in this country health care as a basic human right for free, full stop. But we should also give them the option to buy private insurance. Why do we have to stand for taking away something from people?"
137,"And also it's bad policy. If you go to every hospital in this country and you ask them one question, which is how would it have been for you last year if every one of your bills were paid at the Medicare rate? Every single hospital administrator said they would close."
138,"And the Medicare for all bill requires payments to stay at current Medicare rates. So to some extent, we're supporting a bill that will have every hospital closing. I mean, my dad was a union electrician, right?"
139,"I actually grew up in a working-class family. He loved the health care that the IBEW gave him. And I just always think about my dad in anything I would do from a policy perspective. He'd look at me and he'd say, good job, John, for getting health care for every American. But why are you taking my health care away?"
140,"HOLT: I’ve let this -- I’ve let this play out a little bit because I’m fascinated to hear the daylight between you. Congresswoman Gabbard, why don’t you weigh in here?"
141,"GABBARD: I think we're talking about this in the wrong way. You're talking about one bill over another bill. Really, what we're talking about is our objective, making sure that every single sick American in this country is able to get the health care that they need."
142,"I believe Medicare for all is the way to do that. I also think that employers will recognize how much money will be saved by supporting a Medicare for all program, a program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality health care that they need."
143,I also think that...
144,HOLT: Senator...
145,"GABBARD: ... if you -- if you look at other countries in the world who have universal health care, every one of them has some form of a role of private insurance, so I think that's what we've got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need, regardless of how much or little money they have in their pocket."
146,"HOLT: Congresswoman, Congresswoman, thanks."
147,(APPLAUSE)
148,(CROSSTALK)
149,"HOLT: Let me turn to Senator Booker on this. Senator Booker, explain to me where you are. This is hugely important to people. So tell us where you are."
150,"BOOKER: I absolutely will. First of all, we're talking about this as a health care issue, but in communities like mine, low-income communities, it's an education issue, because kids who don't have health care are not going to succeed in school. It is an issue for jobs and employment, because people who do not have good health care do not succeed at work. It's even a retirement issue, because in my community, African-Americans have a lower life expectancy because of poorer health care."
151,"And so where I stand is very clear. Health care -- it's not just a human right, it should be an American right. And I believe the best way to get there is Medicare for all."
152,"But I have an urgency about this. When I am president of the United States, I'm not going to wait. We have to do the things immediately that are going to provide better care. And on this debate, I'm sorry. There are too many people profiteering off of the pain of people in America, from pharmaceutical companies to insurers."
153,"Literally, the overhead for insurance that they charge is 15 percent, while Medicare’s overhead is only at 2 percent. We can do this better. And every single day, I will be fighting to give people more access and more affordable costs until we get to my goal..."
154,"HOLT: Your time is up, Senator."
155,BOOKER: ... which is every American having health care.
156,(CROSSTALK)
157,"HOLT: Time is up, Senator. I want to..."
158,(CROSSTALK)
159,"HOLT: I want to move back, if I can, to Congresswoman Gabbard..."
160,(CROSSTALK)
161,"WARREN: ... point, though, and that is that the insurance companies last year alone sucked $23 billion in profits out of the health care system, $23 billion. And that doesn't count the money that was paid to executives, the money that was spent lobbying Washington."
162,"We have a giant industry that wants our health care system to stay the way it is, because it's not working for families, but it's sure as heck working for them."
163,(CROSSTALK)
164,WARREN: It’s time for us to make families come first.
165,INSLEE: It should not be an option in the United States of America for any insurance company to deny a woman coverage for their exercise of their right of choice.
166,(APPLAUSE)
167,"And I am the only candidate here who has passed a law protecting a woman's right of reproductive health in health insurance, and I'm the only candidate who has passed a public option. And I respect everybody's goals and plans here, but we do have one candidate that's actually advanced the ball. And we've got to have access for everyone. I've done it as a public option."
168,HOLT: Your time...
169,(CROSSTALK)
170,"HOLT: Senator Klobuchar, I want to get you..."
171,(APPLAUSE)
172,(UNKNOWN): That's a false claim.
173,HOLT: I am fascinated by this. Senator -- Senator Klobuchar?
174,"KLOBUCHAR: I just want to say, there's three women up here that have fought pretty hard for a woman's right to choose. I'll start with that."
175,(APPLAUSE)
176,"And then I just want to make very clear, I think we share the goal of universal health care. And the idea I put out there, the public option, which the governor was just talking about, this idea is that you use Medicare or Medicaid without any insurance companies involved, you can do it either way. And the estimates are 13 million people would see a reduction in their premiums, 12 more million people would get covered."
177,So I think it is a beginning and the way you start and the way you move to universal health care.
178,(CROSSTALK)
179,"HOLT: Secretary Castro, this one is for you. All of you on stage support a woman's right to an abortion. You all support some version of a government health care option. Would your plan cover abortion, Mr. Secretary?"
180,"CASTRO: Yes, it would. I don't believe only in reproductive freedom, I believe in reproductive justice."
181,(APPLAUSE)
182,"And, you know, what that means is that just because a woman -- or let's also not forget someone in the trans community, a trans female, is poor, doesn't mean they shouldn't have the right to exercise that right to choose. And so I absolutely would cover the right to have an abortion."
183,"More than that, everybody in this crowd and watching at home knows that in our country today, a person's right to choose is under assault in places like Missouri, in Alabama, in Georgia. I would appoint judges to the federal bench that understand the precedent of Roe v. Wade and will respect it..."
184,(APPLAUSE)
185,"... and in addition to that, make sure that we fight hard as we transition our health care system to one where everybody can get and exercise that right."
186,"HOLT: Senator Warren, would you put limits on -- any limits on abortion?"
187,"WARREN: I would make certain that every woman has access to the full range of reproductive health care services, and that includes birth control, it includes abortion, it includes everything for a woman."
188,(APPLAUSE)
189,"And I want to add on that. It's not enough for us to expect the courts to protect us. Forty-seven years ago, Roe v. Wade was decided, and we've all looked to the courts all that time, as state after state has undermined Roe, has put in exceptions, has come right up to the edge of taking away protections..."
190,"HOLT: Your time is up, Senator."
191,WARREN: We now have an America where most people support Roe v. Wade. We need to make that a federal law.
192,"HOLT: Senator, thank you. Jose?"
193,"DIAZ-BALART: Lester, thank you. Senator Booker, I want to kind of come back on a discussion we were having about health and the opioid crisis. You represent a state where 14 of the 20 largest pharmaceutical companies are based. Should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do?"
194,"BOOKER: They should absolutely be held criminally liable, because they are liable and responsible. This is one of the reasons why well before I was running for president I said I would not take contributions from pharma companies, not take contributions from corporate PACs, or pharma executives, because they are part of this problem."
195,"And this opioid addiction in our country, we in cities like mine have been seeing how we’ve tried to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that."
196,"DIAZ-BALART: Congressman O'Rourke, how would you deal with it?"
197,"O’ROURKE: Tonight in this country, you have 2.3 million of our fellow Americans behind bars. It’s the largest prison population on the face of the planet. Many are there for nonviolent drug crimes, including possession of marijuana, at a time that more than half the states have legalized it or decriminalized it."
198,"And yet despite what Purdue Pharma has done, their connection to the opioid crisis and the overdose deaths that we're seeing throughout this country, they've been able to act with complete impunity and pay no consequences, not a single night in jail."
199,"Unless there's accountability and justice, this crisis will continue. In my administration, we will hold them to account. We will make sure that they pay a price, and we will help those who've been victims of this malfeasance in this country get them treatment and long-term care."
200,HOLT: I know immigration is on a lot of your minds here.
201,(APPLAUSE)
202,And I want to talk about it. We're going to talk about it in a moment. We need to take a break. We'll be back with more from Miami after this.
203,(COMMERCIAL BREAK)
204,"DIAZ-BALART: We want to turn to an issue that has been in the news, especially this week. There are undocumented children being held alone in detention, even as close as Homestead, Florida, right here, less than 30 miles from where we are tonight. Fathers and mothers and children are dying while trying to enter the United States of America."
205,"We saw that image today that broke our hearts, and they had names. Oscar Martinez and his 23-month-old daughter, Valeria, died trying to cross the river to ask for asylum in this country. Last month, more than 130,000 migrants were apprehended at the southern border."
206,"Secretary Castro, if you were president today, hoy, what would you specifically do?"
207,"CASTRO: Thank you very much, Jose. I'm very proud that in April I became the first candidate to put forward a comprehensive immigration plan. And we saw those images..."
208,(APPLAUSE)
209,"... watching that image of Oscar and his daughter, Valeria, is heartbreaking. It should also piss us all off."
210,(APPLAUSE)
211,"If I were president today -- and it should spur us to action. If I were president today, I would sign an executive order that would get rid of Trump's zero-tolerance policy, the remain in Mexico policy, and the metering policy -- this metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river. They had been playing games with people who are coming and trying to seek asylum at our ports of entry. Oscar and Valeria went to a port of entry, and then they were denied the ability to make an asylum claim, so they got frustrated and they tried to cross the river, and they died because of that."
212,"DIAZ-BALART: On day one. Sorry, I'm just going to ask..."
213,(CROSSTALK)
214,"CASTRO: On day one, I would do that executive order that would address metering. And then I would follow that up in my first 100 days with immigration reform that would honor asylum claims, that would put undocumented immigrants, as long as they haven't committed a serious crime, on a pathway to citizenship."
215,"And then we'd get to the root cause of the issue, which is we need a Marshall Plan for Honduras and Guatemala and El Salvador so that people can find safety and opportunity at home instead of coming to the United States to seek it."
216,(APPLAUSE)
217,"DIAZ-BALART: Senator Booker, what would you do on day one? And this is a situation that the next president will inherit."
218,"BOOKER: Yes. (SPEAKING IN SPANISH) On day one, I will make sure that, number one, we end the ICE policies and the Customs and Border Policies that are violating the human rights. When people come to this country, they do not leave their human rights at the border."
219,Number two...
220,(APPLAUSE)
221,".... I will make sure that we reinstate DACA, that we reinstate pathways to citizenship for DACA recipients, and to make sure that people that are here on temporary protective status can stay and remain here."
222,"And then, finally, we need to make sure that we address the issues that made Oscar and Valeria come in the first place, by making major investments in the Northern Triangle, not like this president is doing, by ripping away the resources we need to actually solve this problem. We cannot surrender our values and think that we’re going to get border security. We actually will lose security and our values. We must fight for both."
223,(APPLAUSE)
224,(CROSSTALK)
225,"CASTRO: ... if I might -- if I might, very briefly, and this is an important point. You know, my plan -- and I'm glad to see that Senator Booker, Senator Warren, and Governor Inslee agree with me on this. My plan also includes getting rid of Section 1325 of the Immigration and Nationality Act, to go back to the way we used to treat this when somebody comes across the border, not to criminalize desperation, to treat that as a civil violation."
226,(APPLAUSE)
227,"And here's why it's important. We see all of this horrendous family separation. They use that law, Section 1325, to justify under the law separating little children from their families."
228,(UNKNOWN): Thank you.
229,(UNKNOWN): Jose...
230,CASTRO: And so I want to challenge every single candidate on this stage to support the repeal of Section 1325.
231,(APPLAUSE)
232,DIAZ-BALART: Thirty seconds.
233,"BOOKER: As my friend here said, I agree with him on that issue, but folks should understand that the separation of children from families doesn't just go on at our border. It happens in our communities, as ICE are ripping away parents from their American children, spouses and the like, and are creating fear in cities all across this country where parents are afraid to even drop their kids off to school or go to work. We must end those policies, as well."
234,(CROSSTALK)
235,DE BLASIO: We have to change the discussion about in this country...
236,DIAZ-BALART: Mayor?
237,"DE BLASIO: ... because look at the bottom line here. Those tragic -- that tragic photo of those -- that parent, that child -- and I'm saying this as a father. Every American should feel that in their heart, every American should say that is not America, those are not our values."
238,"But we have to get under the skin of why we have this crisis in our system, because we're not being honest about the division that's been fomented in this country. The way that American citizens have been told that immigrants somehow created their misery and their pain and their challenges, for all the American citizens out there who feel you're falling behind or feel the American dream is not working for you, the immigrants didn't do that to you."
239,(APPLAUSE)
240,"The big corporations did that to you. The 1 percent did that to you. We need to be the party of working people, and that includes a party of immigrants. But first we have to tell working people in America who are hurting that we’re going to be on their side every single time against those big corporations who created this mess to begin with. And remind people we’re all in this together."
241,"If we don’t change that debate, that politics that’s holding us back, we won’t get all these reforms people are talking about. That’s what we need to do as Democrats."
242,"DIAZ-BALART: If I could, I'm sorry. (SPEAKING IN SPANISH) What would you do, Congressman, day one at the White House??"
243,"O'ROURKE: (SPEAKING IN SPANISH) We would not turn back Valeria and her father, Oscar. We would accept them into this country and follow our own asylum laws. We would not build walls. We would not put kids in cages. In fact, we would spare no expense to reunite the families that have been separated already..."
244,(CROSSTALK)
245,O'ROURKE: ... and we would not criminally prosecute any family who is fleeing violence and persecution...
246,(CROSSTALK)
247,CASTRO: ... repeal of Section 1325.
248,O'ROURKE: We would make sure...
249,"DIAZ-BALART: Secretary, let him finish. And I will give you..."
250,(CROSSTALK)
251,DIAZ-BALART: But let him finish. Let him finish.
252,"O'ROURKE: We would not detain any family fleeing violence, in fact, fleeing the deadliest countries on the face of the planet today. We would implement a family case management program so they could be cared for in the community at a fraction of the cost. And then we would rewrite our immigration laws in our own image, free Dreamers forever from any fear of deportation by making them U.S. citizens here in this country, invest in solutions in Central America, work with regional stakeholders so there's no reason to make that 2,000 mile journey to this country."
